%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 489519   16.262310479  -61.527547155   -20.8355   6  18   0.8104   1.0379   1.8014   0.3418   0.2788   0.4847   0.00    0.0
2281 489520   16.262310218  -61.527546980   -20.8748   6  18   0.7964   1.0244   1.7753   0.3352   0.2972   0.4800   0.00    0.0
2281 489521   16.262309994  -61.527546754   -20.9328   6  18   0.7829   1.0113   1.7500   0.3288   0.3127   0.4754   0.00    0.0
2281 489522   16.262309787  -61.527546440   -21.0012   6  18   0.7698   0.9988   1.7256   0.3226   0.3259   0.4708   0.00    0.0
2281 489523   16.262309593  -61.527546126   -21.0704   6  18   0.7572   0.9867   1.7019   0.3166   0.3373   0.4662   0.00    0.0
2281 489524   16.262309437  -61.527545764   -21.1369   6  18   0.7449   0.9749   1.6789   0.3107   0.3470   0.4617   0.00    0.0
2281 489525   16.262309288  -61.527545432   -21.2060   6  18   0.7330   0.9636   1.6566   0.3049   0.3555   0.4573   0.00    0.0
2281 489526   16.262309074  -61.527545152   -21.2673   6  18   0.7215   0.9526   1.6349   0.2992   0.3628   0.4529   0.00    0.0
2281 489527   16.262308965  -61.527544884   -21.3275   6  17   0.7106   0.9420   1.6139   0.2938   0.3692   0.4490   0.00    0.0
2281 489528   16.262308842  -61.527544596   -21.3644   6  18   0.7000   0.9308   1.5934   0.2882   0.3743   0.4451   0.00    0.0
2281 489529   16.262308691  -61.527544491   -21.4047   6  18   0.6894   0.9208   1.5734   0.2829   0.3791   0.4409   0.00    0.0
2281 489530   16.262308557  -61.527544408   -21.4346   6  18   0.6791   0.9111   1.5539   0.2777   0.3833   0.4367   0.00    0.0
2281 489531   16.262308421  -61.527544306   -21.4704   6  18   0.6690   0.9016   1.5349   0.2726   0.3869   0.4325   0.00    0.0
2281 489532   16.262308303  -61.527544199   -21.5047   6  18   0.6592   0.8924   1.5163   0.2676   0.3900   0.4285   0.00    0.0
2281 489533   16.262308155  -61.527544090   -21.5308   6  19   0.6492   0.8833   1.4982   0.2618   0.3927   0.4244   0.00    0.0
2281 489534   16.262308049  -61.527543965   -21.5534   6  19   0.6395   0.8743   1.4805   0.2562   0.3950   0.4205   0.00    0.0
2281 489535   16.262307867  -61.527543888   -21.5692   6  19   0.6300   0.8657   1.4632   0.2507   0.3969   0.4165   0.00    0.0
2281 489536   16.262307781  -61.527543790   -21.5897   6  19   0.6208   0.8572   1.4463   0.2454   0.3985   0.4126   0.00    0.0
2281 489537   16.262307657  -61.527543715   -21.6174   6  19   0.6119   0.8490   1.4298   0.2402   0.3997   0.4088   0.00    0.0
2281 489538   16.262307567  -61.527543583   -21.6556   6  19   0.6032   0.8409   1.4137   0.2352   0.4007   0.4050   0.00    0.0
2281 489539   16.262307481  -61.527543331   -21.6929   6  20   0.5947   0.8324   1.3979   0.2300   0.4012   0.4012   0.00    0.0
2281 489540   16.262307391  -61.527543229   -21.7293   6  19   0.5864   0.8248   1.3824   0.2252   0.4018   0.3975   0.00    0.0
